Protein	20211018_Seroconversion_DBS_Plate1_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR6_centroid.mzML
A0A075B6K4	69671.48438	103538.5469	92014.98438	126360.4688	125043.2188	83622.85938			56309.375	74428.40625	119193.4609	101869.375		84606.71875		87533.17188	115190.3359	49736.96484				117387.4062				72666.85156					55219.96484	93730.79688			111160.5859		133414.2344	130347.2891	71610.75781	108844.5078	155688.2188	49496.48828	112753.1406	105257.2266	55717.421879999994	81801.92188	111801.6953
A0A075B6K4;P01717	468703.625	467429.1562	474880.0625	440597.5312	448851.875	466649.375	417829.3125	438470.8125	494411.0312	454183.6875	467289.1875	434172.5312	454885.9688	476615.5312	443891.3125	475263.0625	412920.1562	400230.7188	480602.8438	442498.625	454976.9688	415210.1562	473729.7188	447015.2812	398353.6562	439450.0312	451383.25	434639.125	439877.9062	446567.1562	413969.3438	393786.4688	305909.375	359672.625	375566.0	362552.8438	406120.6562	329131.6875	382135.8125	366481.0625	347057.7188	403582.4688	358178.9062	372006.6562	388601.75	369806.1562	384328.0312
A0A075B6K5		44537.62109	47231.09375	75670.96875	53363.98438	46807.48828	33911.51172				34592.60156						56392.09375			45188.53906			49337.66406					27490.45508									53414.00781		35683.39062				33167.4375				39400.66797
A0A075B6K5;P80748	286494.3125	419191.0	310849.8438	417645.375	612827.0	258778.4375		160479.9375	305493.125	303460.3125	532386.875	345661.2188	193061.875	295384.0938	300798.4688	540551.3125	479564.4688	366769.8125	198738.7812	415701.9062	383228.2812	541370.375	513923.1562	319460.4062	616992.75	755659.5625	836242.6875	918183.6875	783612.5	697716.375	662675.375	776026.75	822360.9375	866797.6875	793844.4375	563995.0	767106.0625	775557.9375	730644.5625	942528.8125	698772.0	565170.1875	738828.875	880321.75	809772.125	835127.0625	767246.0625
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310			1231240.125			1098447.375	1261619.125		1362661.0	1388716.75		1431708.375				1469368.0									1267210.25	1203875.375		1381516.125				1276184.25	1278139.75	1357472.125	1246523.375		1292633.125	1252932.625		1204106.5	1329403.125	1398853.875	1318214.25				
A0A075B6P5;A0A087WW87;P01614;P01615	2904296.75	2968545.25	2863239.75	2934134.0	2726077.0	2810279.75	3068932.5	3111714.5	3237021.75	3205531.75	3179426.25	3187742.75	3330135.0	3141507.25	3291413.75	3332501.75	3211709.5	3087276.25	3325836.75	2915010.5	3052647.75	3051923.75	3132605.5	3203139.75	2910414.5	2826726.75	2894812.0	2699712.0	2877616.75	3060352.5	2822787.0	2574808.75	2605235.0	2564214.0	2586553.0	2787090.0	3163378.25	2772808.5	3138649.75	2937828.0	3104662.25	3378674.5	3034973.5	2815541.75	2790426.0	3183923.75	3095396.5
A0A075B6Q5																				73085.25																											
A0A075B6Q5;A0A075B7F0					43935.77344																					44749.60938											255098.8594	52787.36719		237379.7969	260262.8125		267954.5625	33441.24219	111986.8594	253807.4531	354771.75
A0A075B6Q5;A0A075B7F0;A0A075B7F1;A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V1;A0A0B4J1V6;A0A0B4J1X5;A0A0B4J1X8;A0A0B4J1Y9;A0A0C4DH32;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;A0A0J9YY99;P01762;P01763;P01764;P01766;P01767;P01768;P01772;P01780;P01782;P0DP02;P0DP03;P0DP04;S4R3C0;S4R460		21846.41016	19081.19336			28450.70508							461834.5312	464855.625	563538.9375	539620.0	512782.5312	350196.5312													269528.0312	562981.0	243857.3281	459491.2188	199464.9375	571511.3125											
A0A075B6Q5;P0DP02																														134728.125				101673.1953	332476.8438		255098.8594			237379.7969	260262.8125		267954.5625		111986.8594	253807.4531	354771.75
A0A075B6R2;A0A087WSY4;A0A087WW49;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	2012850.125	2179688.75	1882664.75	1999220.25	2421125.75	1892644.75	1747918.875	1721479.0	2116822.0	2008353.25	2413092.0	2196625.25	1816213.5	1966427.375	2109713.75	2368760.25	2138611.0	1979807.875	2061108.375	2269363.0	2308946.75	2304208.25	2257662.0	2113882.5	3040976.75	2893047.25	3268517.75	3332591.0	3063304.5	3089978.0	3119990.75	2854461.25	2908977.75	2838141.75	2749715.5	3008648.75	2953893.75	2823447.5	2802832.0	3038919.75	2889843.0	3333521.25	3050324.5	3131409.0	2995133.5	3486254.5	3166966.25
A0A075B6R9;A0A0C4DH68	211056.1094	265156.4375	258082.1875	300447.4375	255622.5625	259168.0	226260.5469	271733.625	267833.9375	280296.8438	287717.5938	189235.1094	212501.6406	244168.0	271523.2812	275789.4688	277752.2812	258919.9219	189818.1875	237395.8594	232329.2656	209972.9219	277117.75	227199.625	221118.3438	214425.7969	153255.1719	209949.25	216435.2031	128063.9922	224931.8906	230658.8281	233659.5156	210100.0781	175340.4531	164438.3125	356478.375	286923.25	245926.5312	296455.5	351950.8438	220585.5	326583.7188	296089.6562	186947.9531	250464.2656	307295.0312
A0A075B6S2;A0A0A0MRZ7;A2NJV5	190098.2031		164565.75	185895.6094	190232.7656			141850.9688	160529.0938	137938.9688	135621.0938	123422.4922	130380.1562		120858.3359	143053.5781	173126.0	136876.1562			92537.63281	126907.9375				97589.89062	133524.6406				104686.5859	131540.5781		100394.4141	113288.4375	103975.9688	122327.7734	144381.0312		106888.1562	135518.1719	130298.8125	103471.2734	120948.3203	108259.9297		114810.3047
A0A075B6S4																																													34669.67188		
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	2029355.375	2412215.0	2040288.0	2304548.75	2526525.0	1964601.375	1859160.375	1855717.125	2407350.75	2371375.0	2811755.5	2557900.75	1917438.0	2088659.75	2496350.25	2757672.25	2426557.25	2180244.0	2206851.0	2395646.5	2403229.0	2446212.5	2480719.5	2219219.25	2344019.0	2205243.25	2239927.75	2488364.5	2356123.25	2514069.75	2223391.25	2491886.25	2392175.0	2242185.5	2249392.0	2285634.0	2622927.25	2583314.5	2739641.75	2700115.5	2579458.0	2911170.0	2795532.75	2728750.25	2869656.5	2996642.5	2985122.0
A0A075B6S9	131869.0781				587175.8125				835699.0625			905426.75					1011770.75				688767.8125							795612.8125	673650.0	711783.375							843620.3125					866480.1875	754743.0625	643674.75	775164.625	701366.25	681444.5
A0A075B702	228719.3594	244286.8906	250526.3281	226849.8906	190479.4844	230417.5625	225178.4375	224443.2656	184887.2031	154800.7969	217074.375	185033.7812	193364.9062	229317.9844	148679.8281	265236.8438		239895.5			225181.2344	202191.75	195001.7969	129944.3125			159891.0156				196758.2188	163808.4375	201990.1562	139587.75	203241.3594	170198.5469	222129.8594	197798.4062	130884.9219	220241.8594	235384.5938	160371.5938	164783.9062	228420.25	150564.5781	180850.7812	214282.7656
A0A075B759;A0A075B767;A0A0B4J2A2;F5H284;P0DN26;P0DN37;P62937;Q9Y536		8734642.0	8403694.0	8431696.0	8896757.0	8339768.0				8906419.0		9216743.0				9690076.0	9506844.0	9737095.0		8757378.0		7979620.0	8585646.0			8116354.5	7916518.0	8350894.5	7441777.0			8098354.0	8202115.5	9183839.0	7764382.5	8938168.0	7781890.5	7300216.5		7522996.5	7507126.0	8404673.0	7360145.0	8149369.0		8224025.5	
A0A075B759;A0A075B767;A0A0B4J2A2;F5H284;P0DN26;P62937;Q9Y536	8028812.0	8734642.0	8403694.0	8431696.0	8896757.0	8339768.0	8371280.5	7946034.5	9799024.0	8906419.0	8851562.0	9216743.0	7992294.0	8547873.0	9542152.0	9690076.0	9506844.0	9737095.0	8064426.5	8757378.0	8947535.0	7979620.0	8585646.0	8074477.0	8339817.0	8116354.5	7916518.0	8350894.5	7441777.0	8146069.5	7502511.5	8098354.0	8202115.5	9183839.0	7764382.5	8938168.0	7781890.5	7300216.5	8113865.5	7522996.5	7507126.0	8404673.0	7360145.0	8149369.0	8329807.0	8224025.5	7217307.5
A0A075B7B8		336052.7188		318425.9688	466700.5938	265185.5			226353.5312	275444.6875	426846.5938	244840.0		266846.5938	315042.9375	368332.25	422667.5312	287442.9688	186578.8281	350011.9688	371178.0625	402770.2188	391859.2188	232857.3125	710306.8125	812500.5625	993832.3125	1119847.875	833615.1875	707920.875	640370.5625	708178.8125	697418.375	731258.375	748128.125	644510.0625	719218.875	771711.5	643307.8125	1104855.375	698470.5	811606.4375	975499.375	1109560.375	882965.5625	1115942.5	1079399.75
A0A075B7B8;A0A075B7E8;A0A0B4J1X5;A0A0C4DH42;A0A0J9YY99;P01764;P01767;P01768;P01772;P0DP02;P0DP03	2893540.25	3774285.5	2762102.5	3526233.5	5200691.5	2893654.25	2536321.5	2650418.5	4277911.0	3942172.25	5879340.5	4663523.5	2627694.25	3316720.5	4285268.5	5676675.0	5365258.0	3784816.0	3137762.75	4274150.5	4665123.5	5548295.5	5094598.0	3593075.5	6930010.5	7057791.5	7945081.5	8516170.0	7289804.0	7470134.5	7440719.0	7702628.0	8692938.0	8554567.0	8239276.0	7847160.5	6983164.5	6700040.5	7423392.0	7059040.0	6657142.0	6958899.0	6638341.0	7477515.0	7889166.5	7068934.0	6463985.5
A0A075B7D0	4027501.5	4004585.25	3842447.25	3745998.25	3893205.5	3578105.75	3740236.0	3579808.25	3728487.0	3803041.25	3675355.0	3560063.25	3647012.5	3675670.5	3611556.25	3830552.0	3717523.75	3355262.5	3448475.75	3542739.75	3663584.5	3219120.25	3605900.75	3367114.75	3440465.75	3339256.0	3566706.5	3721599.25	3195499.25	3596394.25	3830962.75	3625267.75	3650824.0	3654484.25	3376048.25	4161092.25	3344813.5	3153896.0	3489012.75	3423301.5	3235634.75	3802025.5	3431151.25	3484192.0	3553908.5	3677209.75	3340864.0
A0A075B7D8	104433.875										60620.78125															200022.5312		257338.7031	242122.6562			267441.2812		237548.5312			302634.3125	334861.75									
A0A075B7E8;A0A0B4J1X5	2877105.75	3212559.0	2790672.0	2729775.0	3351900.25	2638751.0	2363383.0	2150348.25	2567993.75	3054811.25	3115085.0	2819589.75	2060798.5		2578623.25	2757550.0	2619462.5	2287407.75	2091734.5	2460557.25	2565709.75	2416681.0	2537204.25	1828418.625	2260481.75	2061454.25	2466994.5	2597434.75	2461396.0	2506223.25	2631671.5	2821103.0	2296017.25	2972996.5	2561713.0	2888265.5	2644717.75	2472381.25	3023485.25	2763014.5	2772190.0	2982411.5	2612839.5	2897644.0	3146034.5	2837800.25	2836000.5
A0A075B7F0;A0A0B4J1V1;A0A0B4J1X5;A0A0C4DH32;P01762;P01763;P01780;P01782;S4R460													1985790.125	1596611.125	1971482.75	2347587.25	2337204.75	1794848.5													3518147.5	4814601.5				4954216.5											
A0A075B7F0;A0A0B4J1V1;A0A0B4J1X8;A0A0C4DH32;P01762;P01763;P01766;P01780;P01782;P0DP04;S4R460	2710193.5	3352224.5	2516017.75	3111636.75	4121113.25	2667223.0	2019780.875	2170719.75	3059340.25	2955869.5	3815300.5	3209716.0	2227184.5	2672216.75	3155749.75	3780076.25	3735275.25	2734998.75	2681127.75	3413374.25	3533629.5	3692412.5	3633231.5	2841571.25	4077783.0	4444189.0	4942051.0	4900414.0	4861123.5	4647765.0	5026800.5	5257191.5	5557340.0	5695618.5	5566710.0	5230408.5	5353508.5	5085023.0	5645636.5	5004087.0	5006732.5	5538386.5	5230790.0	5994403.0	5643224.5	5414713.5	5131240.5
A0A087WSY6	1096823.75	1178844.125	1055566.375	1080927.875	1179560.5	1055820.0	1221663.5	1145841.0	1143652.125	1255538.625	1283337.375	1209231.0	1491356.375	1268504.0	1328621.875	1203792.875	1209690.0	1189221.375	1365051.375	1182191.0	1094166.75	1122932.625	1198355.875	1266304.25	1125366.5	1032889.938	1030765.75	1023200.938	1021416.812	1084981.625	1429753.75	1312183.5	1217619.875	1137463.5	1215721.25	1293640.625	1149461.375	1142023.5	1327825.125	1120419.0	1081912.125	1174009.25	1052417.0	1120790.125	1244399.125	1126987.625	1103827.5
A0A087WSY6;P01624	1096823.75	1178844.125	1055566.375	1080927.875	1179560.5	1055820.0	1221663.5	1145841.0	1143652.125	1255538.625	1283337.375	1209231.0	1491356.375	1268504.0	1328621.875	1203792.875	1209690.0	1189221.375	1365051.375	1182191.0	1094166.75	1122932.625	1198355.875	1266304.25	1125366.5	1032889.938	1030765.75	1023200.938	1021416.812	1084981.625	1429753.75	1312183.5	1217619.875	1137463.5	1215721.25	1293640.625	1149461.375	1142023.5	1327825.125	1120419.0	1081912.125	1174009.25	1052417.0	1120790.125	1244399.125	1126987.625	1103827.5
A0A087WVI0;Q8WTW3																																				129396.0859											
A0A087WW87;P01614		2968545.25	2863239.75			2810279.75																									2822787.0	2574808.75	2605235.0		2586553.0	2787090.0											
A0A087WYE8																																												100514.2812			
A0A087X1A0																																									248562.7188						
A0A096LNT2																																85131.88281															
A0A0A0MRZ8;P04433	9302174.0	8867837.0	9103750.0	8351986.5	8213670.0	8668515.0	10545235.0	9227178.0	9757312.0	9832646.0	9369889.0	9574565.0	9683535.0	8849128.0	9230317.0	8734274.0	8697084.0	8612852.0	8772533.0	8681885.0	9205300.0	8318460.0	8827611.0	8796186.0	6931754.5	6258403.0	6940460.5	7063836.5	6546262.0	7207144.0	7272357.5	7312509.0	6667097.5	7260831.0	5735524.5	7623316.0	6713706.0	6168872.0	6976567.5	6430934.5	6379589.0	7672999.0	6346666.0	6745090.0	6962450.5	7106694.5	6543074.0
A0A0A0MS14			22890.07617	51533.51172	55359.890620000006																					140857.5	122241.75			59064.83594		82126.24219			97522.71875	92106.78906	72075.29688	84234.4375		57926.92578	114257.1172		117463.1484	131890.6094		114040.0	186005.8281
A0A0A0MS15	1004713.562	1171381.5	885307.5	952086.4375	1368558.625	918113.875	681575.0	766475.4375	1049154.875	911832.375	1163256.875	992241.1875	679481.0	844881.5625	907467.875	1161338.75	1100899.0	831887.1875	646293.25	915919.8125	1046218.25	1043440.125	1024154.25	695107.5625	1080712.0	1072438.5	1144328.0	1221233.0	1151167.75	1176843.25	1146824.0	1319832.625	1181066.75	1443983.625	1055806.75	1306400.0	1208363.5	1080472.0	1381440.0	1176055.25	1165514.25	1460292.375	1221176.5	1273898.75	1502370.875	1396134.125	1204113.25
A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9													192272.6094	233125.2812																		157941.0	85247.03125														
A0A0A0MS15;A0A0B4J1V6		69784.125	57219.55859	79858.57031	117339.2031																				130420.0938	162421.2188	232770.0156	206014.9219	233472.2031	146014.4531		155274.7656	197427.25	202276.6094	168952.6875	160937.25	155798.2031	117085.9219		189238.8438	136017.7656	108013.8594	133204.5625	171125.7031	158903.0	170047.5469	119212.75
A0A0A0MT36;A0A0C4DH26	141202.2031	155444.8594	153797.7188	157142.875	152217.4062	140396.1719	118800.4531	143707.1094	174045.3125	179832.0156	184747.0312	141525.9531	146609.7031	160159.7188	114558.5859	195964.0156	200859.5469	160468.9375	144682.8438	171265.75	146483.6406	182206.5469	181043.2031	178916.5312	146745.7812	198205.5312	190240.9375	163934.875	186430.1875	211129.0938	155694.6562	173839.3906	172222.3438	133437.9219	163951.7188	196328.25	193112.5156	187282.0312	174940.2031	211208.5625	170259.3281	208201.7656	222316.4062	230179.0938	169895.2031	214181.8125	219378.1562
A0A0A0MT89											62203.05469									82231.74219														49970.44141		40418.30078			104470.5	89372.625		41189.72266		94406.09375	141925.125	59854.85156	
A0A0A0MT96	147006.8281	155668.4531	147098.4219		185215.8906	134237.8281	76656.45312		128628.9609		177567.3125	90628.52344				172930.8438	170922.9531	79503.97656					174842.7969				141386.7188	185887.2812	126290.0469	159729.8906	158946.0	169658.25	173220.1094	147203.3438	179168.6719	187536.5312	213020.5156	204662.1562	190233.0938	211199.4688	181239.9844	151651.4531	191234.5469	220968.9844	191782.6562	218397.8594	211999.7344
A0A0A0MTA3		249615.0156	186275.5469		189390.5312		172052.6094	201947.7812		228004.3906	248599.4688		174124.5938		239980.5781		237421.7656		159019.375	162066.8594		184104.8125	195419.9844	128973.8594							255188.4375	275729.5	220590.9844	230210.3125	229425.6094	263480.2188	97956.57812		172873.0938	61852.27344	29143.07227	200858.9375			188353.3281		
A0A0A0MTC1;Q63HN8														265382.0																							220474.7344										
A0A0A6YYK4																																		328816.9375													
A0A0B4J1U3																																							67637.04688					70677.00781			
A0A0B4J1U7																																													46091.75		
A0A0B4J1V0	46539.85547	146198.625	90444.95312	106218.3125	201782.9844	116864.1641	64032.671879999994	121813.6875	88459.80469	55774.82031	64378.51172	36428.80469	69052.35156	157800.6875		56933.00781	108268.8828				89566.54688	69967.875	41724.73047		145994.5781	108516.1328	212104.8594	106288.2422	99699.9375	177660.8594	169695.375	111615.125	287145.7188	104206.6094	151135.0469	187458.9062	143866.8594	112221.7578	319771.7812	288148.4062	285957.5625	259899.5312	330910.625	382983.4375	362783.5	335436.5	264380.0
A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9								4347511.5																4621180.5																							
A0A0B4J1V0;A0A0B4J1Y9	1148136.625	783695.625	1033525.688	603657.9375		994965.5	1648184.0	1412404.5	892785.0	934682.8125		652349.625	1378807.875	1058262.125	645478.9375	344645.125		748575.125	987417.0625	511259.7812	496673.9688			739827.125																							
A0A0B4J1V1;A0A0B4J1X5;A0A0C4DH42;A0A0J9YVY3;P01762;P01763;P01767;P01772;P01780;P0DP02	1607781.625	1970797.875	1471669.5	1706622.5	2483349.75	1537245.625	1306156.0	1319001.25	1882039.125	1773564.75	2369222.25	1956793.0	1985790.125	1596611.125	1971482.75	2347587.25	2337204.75	1794848.5	2391936.75	3099956.5	3191298.75	2559367.75	3246614.75	2638911.25	3597570.25	3723981.0	3968849.0	4089287.75	4313464.0	4042264.5	3518147.5	4814601.5	3627624.0	5202907.0	4566565.0	4954216.5	3614874.5	3514753.75	4693772.5	3664044.75	3350322.5	3853204.5	3715273.25	3790579.75	4406831.5	4343417.5	4069414.25
A0A0B4J1V1;P01762;P01763;P01780	1607781.625	1970797.875			2483349.75		1306156.0	1319001.25	1882039.125	1773564.75	2369222.25	1956793.0	1985790.125	1596611.125	1971482.75	2347587.25	2337204.75		2391936.75	3099956.5	3191298.75		3246614.75	2638911.25	3597570.25						3518147.5	4814601.5		5202907.0	4566565.0	4954216.5	3614874.5	3514753.75			3350322.5						
A0A0B4J1V2	227110.1719	195745.3281	242423.0625	247443.6719	295490.125	251597.4844																									291255.25																
A0A0B4J1V6											333690.5						383346.2812					219293.7656	339486.3125															102033.2656	26614.11328			64337.80078					
A0A0B4J1X5;A0A0C4DH42;P01767;P01772;P0DP02	2877105.75	3212559.0	2790672.0	2729775.0	3351900.25	2638751.0	2363383.0	2150348.25	2567993.75	3054811.25	3115085.0	2819589.75	2060798.5	561824.5	2578623.25	2757550.0		2287407.75	2091734.5	2460557.25	2565709.75	2416681.0	2537204.25	1828418.625	2260481.75	2061454.25		2597434.75			2631671.5	2821103.0			2561713.0	2888265.5	2644717.75		3023485.25		2772190.0	2982411.5	2612839.5			2837800.25	2836000.5
